game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
GAME-ID,Season that this data sets belongs to.,"Game 
Date","Away Team's
Five-Men Lineup
(Players On The Court)
1","Away Team's
Five-Men Lineup
(Players On The Court)
2","Away Team's
Five-Men Lineup
(Players On The Court)
3","Away Team's
Five-Men Lineup
(Players On The Court)
4","Away Team's
Five-Men Lineup
(Players On The Court)
5","Home Team's
Five-Men Lineup
(Players On The Court)
1","Home Team's
Five-Men Lineup
(Players On The Court)
2","Home Team's
Five-Men Lineup
(Players On The Court)
3","Home Team's
Five-Men Lineup
(Players On The Court)
4","Home Team's
Five-Men Lineup
(Players On The Court)
5",Period of the game that the the event described in that row actually occurred.,Accumulated score of away team at that moment in the game,Accumulated score of home team at that moment in the game,Remaining time in the period,Time passed since the period has started.,Duration of the event described in that row.,All events in a game has an id number,The team that has executed the described event,"Various types of events (fouls, freethrows, turnovers etc.)",The player who made the assist if the event is an assisted field goal.,Player of away team who is participating in a jumpball,Player of home team who is participating in a jumpball,Player who blocked a shot,Player who checks in the game,Player who checks out the game,"Freethrows in an order (first, second, third...)",Player who has drawn a foul.,How many free throws are going to be shoot,Player who made this event,Points scored within the event,Player who grabbed the ball after an event.,More details on how the event happened,Shot made or missed,Player who steals the ball,Various types of events occurs in a game,Shot distance (feet),X axis value of the shot,Y axis value of the shot,"X axis value converted to X coordinate on an standard NBA court 
(94 feet long and 50 feet wide)","Y axis value converted to Y coordinate on an standard NBA court 
(94 feet long and 50 feet wide)","Description of the play
IMPORTANT LIMITATION:
Referee names in descriptions are only available 
from the 2015-2016 season and onwards!"
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Daniel Gafford,Al Horford,,,,,,,Al Horford,,Jaylen Brown,,,,jump ball,,,,,,Jump Ball Horford vs. Gafford: Tip to Brown
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:40,0:00:20,0:00:20,3,BOS,shot,Jayson Tatum,,,,,,,,,Jrue Holiday,2,,,made,,driving layup,1,4,10,25.4,88,Holiday 1' Driving Layup (2 PTS) (Tatum 1 AST)
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:23,0:00:37,0:00:17,4,DAL,shot,,,,,,,,,,Luka Doncic,0,,,missed,,3pt step back jump shot,28,97,257,15.3,30.7,MISS Doncic 27' 3PT Step Back Jump Shot
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:22,0:00:38,0:00:01,5,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:16,0:00:44,0:00:06,6,DAL,foul,,,,,,,,Jaylen Brown,,Luka Doncic,,,p.foul,,,personal,,,,,,Doncic P.FOUL (P1.T1) (B.Kennedy)
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:05,0:00:55,0:00:11,7,BOS,shot,,,,,,,,,,Jaylen Brown,0,,,missed,,3pt pullup jump shot,31,16,312,26.6,57.8,MISS Brown 31' 3PT Pullup Jump Shot
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:11:03,0:00:57,0:00:02,8,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
42300405,NBA 2024 Playoffs,6/17/24,Daniel Gafford,Luka Doncic,Kyrie Irving,P.J. Washington,Derrick Jones Jr.,Al Horford,Jaylen Brown,Jrue Holiday,Jayson Tatum,Derrick White,1,0,2,0:10:57,0:01:03,0:00:06,9,DAL,turnover,,,,,,,,,,Luka Doncic,,,,,Derrick White,lost ball,,,,,,White STEAL (1 STL): Doncic Lost Ball Turnover (P1.T1)
